Agency,ContactEmail,ContactName,ContactPhone,CustomId,ProjectNumber,ProjectType,additional_information,award_description,awarded_to,contract_amount,published_date,sub_contract_award
"Lynn, City of Purchasing Department3 City Hall Square Room 205Lynn, MA 01901",Notify email address listed when final publish date assigned.,Charles E. White,781-586-6893,CAN4/11/20124/20/201200031, ,Designer Services , ,Request for Owner's Project Management Services (Revised Contract Award).,"Joslin, Lesser & Associates, Inc44 Pleasant St.Watertown, MA 02472",Cost to be Negotiated, 4/18/2012, 
"Newton, City of 1000 Commonwealth Ave.Newton, MA 02459",Do not notify email address listed when final publish date assigned.,Maureen Lemieux,617-796-1220,CAN4/11/20124/20/201200032,12-59,General Contract , ,"Sprinklers at Zervas, Burr and Horace Mann Schools.","Carlysle Engineering, Inc.115 Brookside Ave.Boston, MA  02130","$1,245,000.00", 4/18/2012, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Tony Saunders,617-568-5950,CAN4/11/20124/20/201200033,AP1213-C1,General Contract , ,"FY12-14 Overhead Door Repairs Term Contracts at all Massport Authority Properties in Boston, Bedford and Worcester.","Collins Overhead Door, Inc.404 3rd St.Everett, MA 02149","$456,000", 4/18/2012, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Notify email address listed when final publish date assigned.,William Kristnofe,617-568-5950,CAN4/11/20124/20/201200034,AP1217-C1,General Contract , ,"High Voltage Electrical Maintenance Term Contract at Logan, Hanscom, Worcester, Black Falcon, Conley Terminal.","J.F. White Contracting10 Burr St.Framingham, MA 01701","$249,990", 4/18/2012, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Catherine Wetherell,617-568-5950,CAN4/11/20124/20/201200035, ,Designer Services , ,"Solar Energy System Development and Management Services at Worcester Regional Airport, Worcester.","Tecta Solar Worcester, LLC220 Commerce Drive Suite 220Ft. Washington, PA 19034",TBD, 4/18/2012, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside Drive East Boston, MA 02128",Notify email address listed when final publish date assigned.,Anthony Saunders,617-568-5950,CAN4/11/20124/20/201200036,AP1213-C1,General Contract , ,"FY 12-14 Overhead Door Repairs Term Contract at all Massport Authority Properties in Boston, Bedford and Worcester.","Collins Overhead Door, Inc.404 3rd St.Everett, MA 02149","$456,000", 4/18/2012, 
"Reading, Town of Municipal Light Department230 Ash St.Reading, MA  01867",Notify email address listed when final publish date assigned.,Craig Owen,781-942-6440,CAN4/11/20124/20/201200037,2012-36,General Contract , ,"Removal and replacement of two rooftop air conditioning units at 230 Ash St., Reading.","Healthy Air Solutions, Inc. 29 Walnut Rd.Norwell, MA  02061","$19,600", 4/18/2012, 
"Sandwich, Town of Department of Public Works500 Route 130Sandwich, MA  02563",Notify email address listed when final publish date assigned.,"Paul S. Tilton, P.E.",508-833-8002,CAN4/11/20124/20/201200038, ,General Contract , ,Street Sweeping and Trucking.,"Hi-Way Safety Systems, Inc.9 Rockview WayRockland, MA  02370","$48,950.00", 4/18/2012, 
"University of Massachusetts Building Authority225 Franklin St. 12th FloorBoston, MA 02110",Notify email address listed when final publish date assigned.,Maryl Miller,617-744-3117,CAN4/11/20124/20/201200039,UMBA 10-L3,General Contract , ,"South Campus Garage, UMass Lowell.","Barr & Barr, Inc.260 Cochituate Rd.Framingham, MA 01701",TBD, 4/18/2012, 
"University of Massachusetts Building Authorityc/o Joslin, Lesser + Associates, Inc.44 Pleasant St.Watertown, MA 02472",Do not notify email address listed when final publish date assigned.,Maryl Miller,617-744-3117,CAN4/11/20124/20/201200040,UMBA 10-B1,General Contract , ,"Utility Corridor and Roadway, UMass Boston.","Bond Brothers, Inc.145 Spring St.Everett, MA 02149",GMP to be determined, 4/18/2012, 
"University of Massachusetts Medical School55 Lake Ave. NorthWorcester, MA  01655",Notify email address listed when final publish date assigned.,Daniel Richie,508-856-6738,CAN4/11/20124/20/201200041,864-2012,General Contract , ,"The project includes renovation of approximately 2,032 square feet of existing office space.  Work will include the demolition of existing office walls, carpet, ceiling, electrical and associated construction.  New work will include the construction of new offices including light gauge framing and gypsum board walls, ACT ceilings, carpet tile, doors/frames/glazing, painting, minor casework, electrical power and lighting, minor HVAC, minor Fire Alarm and Fire Protection and associated work.","Antonelli Construction21 Adams St.Worcester, MA 01613","$152,678.00", 4/18/2012,"Electrical:  Ostrow Electric, $39,700."
"Ware, Town of Town Manager/Board of Selectmen126 Main St.Ware, MA 01082",Notify email address listed when final publish date assigned.,Christopher J. Dunphy,413-781-6045,CAN4/11/20124/20/201200042, ,General Contract , ,"Memorial Field Improvements:  Installation of athletic field lighting, a new pathway system, relocation of existing football goal posts and scoreboard and installation of parking spaces.","Mountain View Landscapes & Lawncare, Inc.67 Old James St.Chicopee, MA 01020","$482,870", 4/18/2012, 
"Westfield, City of 59 Court St.Westfield, MA  01085",Notify email address listed when final publish date assigned.,Tammy Tefft,413-572-6254,CAN4/11/20124/20/201200043,2324,Real Property , ,Long term (up to 30 years) lease of space for an early childhood educational facility.,"Community Action393 Main St.Greenfield, MA  01301", , 4/18/2012, 
"Westfield, City of 59 Court St.Westfield, MA  01085",Notify email address listed when final publish date assigned.,Tammy Tefft,413-572-6254,CAN4/11/20124/20/201200044,2326,General Contract , ,Relocation of road and utilities at the Airport.,"Morais Concrete Services108 Rocus St.Springfield, MA 01104","$952,955", 4/18/2012, 
"Acton, Town ofHousing Authority 68 Windsor Ave.Acton, MA 01720-0681",Notify email address listed when final publish date assigned.,Shara Lewis,617-445-3555 ext. 308,CAN4/21/20124/30/201200000,DHCD# 002018,General Contract , ,"Acton Modular Duplex Housing:  Provide for detailed design, prefabrication, site preparation, site utilities, construction of foundations, assembly, installation, and completion of Six Duplex modular buildings, including any and all services required containing nine two-bedroom and three three-bedroom Family Housing Units ready for use and occupancy.","Triumph Modular, Inc.194 Ayer Rd.Littleton, MA 01460","$2,798,466", 4/25/2012, 
"Developmental Services, Department of (DDS)Engineering Office500 Harrison Ave.Boston, MA 02118",Notify email address listed when final publish date assigned.,Sheila O'Brien,617-624-7887,CAN4/21/20124/30/201200001,DDS 12-17,General Contract , ,"Kitchen Renovation at 1230 Plumtree Rd., Springfield.","Kosmos Construction, Inc.101 Washington St.Ayer, MA 01432","$14,000", 4/25/2012, 
"Fitchburg, City of Office of the Purchasing Agent718 Main St.Fitchburg, MA  01420",Notify email address listed when final publish date assigned.,Lois Ogilvie,978-0345-9576,CAN4/21/20124/30/201200002,DEP-CWSRF-3651,General Contract , ,"Combined Sewer Separation CSS 5, 6 and CSO 38 Modifications.","Ludlow Construction Co.19 Carmelina’s CircleLudlow, MA 01056","$4,780,847.50", 4/25/2012, 
"Franklin, Town of 355 East Central St.Franklin, MA  02038",Notify email address listed when final publish date assigned.,Norma Collins,508-553-4866,CAN4/21/20124/30/201200003,2012-5,General Contract , ,Phase 4 Sanitary Sewer System Rehabilitation Project.,"Advanced Pipe Inspection, Inc.P.O. Box 4234 Dedham, MA 02027","$503,436.60", 4/25/2012, 
"Gardner, City of Department of Community Development and Planning115 Pleasant St. Room 201Gardner, MA  01440",Notify email address listed when final publish date assigned.,Jennifer Dymek - Grants Administrator,978-632-3800,CAN4/21/20124/30/201200004, ,General Contract , ,"Senior Center Boiler Replacement Project, Gardner.","Commercial Industrial Boiler Service10 Malloy St.Medway, MA 02053","$65,505.00", 4/25/2012, 
"Greenfield, Town ofDepartment of Planning and Development14 Court SquareGreenfield, MA  01301",Notify email address listed when final publish date assigned.,"David Loring, P.E.",413-562-1600,CAN4/21/20124/30/201200005, ,Designer Services , ,"Columbus Ave. Sanitary Sewer Replacement Project.  The project consists of the construction and testing of a new gravity sanitary sewer main, new sanitary sewer services, precast manholes and associated surface restoration.","A. Martins & Sons Construction, Inc.679 Moore St.Ludlow, MA  01056","$305,352.75", 4/25/2012, 
"Holyoke, City of Gas and Electric Department99 Suffolk St.Holyoke, MA 01040",Do not notify email address listed when final publish date assigned.,Yocelyn Delgado,413-536-9308,CAN4/21/20124/30/201200006,12-03,General Contract , ,"Installation, Splicing, Termination and Testing Services Annual Contract.","Collins Electric Co., Inc.53 Second Ave.Chicopee, MA  01020",Various Unit Prices, 4/25/2012, 
"Holyoke, City of Gas and Electric Department99 Suffolk St.Holyoke, MA 01040",Do not notify email address listed when final publish date assigned.,Yocelyn Delgado,413-536-9308,CAN4/21/20124/30/201200007,12-02,General Contract , ,Street Light and Metering Equipment Installation.,"Collins Electric Co., Inc.53 Second Ave.Chicopee, MA  01020",Various Unit Prices, 4/25/2012, 
"Hospital School, Massachusetts3 Randolph St.Canton, MA 02021",Notify email address listed when final publish date assigned.,Wilton Baker,781-830-8380,CAN4/21/20124/30/201200008,12MHS-BOWL3,General Contract , ,"Remove old candlepin pinsetters, machinery, etc. and install new candlepin pinsetters, machinery, etc.","Gold Crown Service, Corp.214 Berlin Rd.Marlborough, MA 01752","$35,050.50", 4/25/2012, 
"Maritime Academy, Massachusetts 101 Academy DriveBuzzards Bay, MA 02532",Do not notify email address listed when final publish date assigned.,Dr. Francis X. McDonald, ,CAN4/21/20124/30/201200009,0081-2012,Designer Services , ,"Study and Design for Building Renovations, Repairs and Upgrades at Massachusetts Maritime Academy (DSB List #11-12, Item #3) (House Doctor).","Turowski2 Architecture, Inc.313 Wareham Rd.Marion, MA 02738","$500,000.", 4/25/2012, 
"Nantucket, Town ofLand Bank22 Broad St.Nantucket, MA 02554",Do not notify email address listed when final publish date assigned.,Bruce Perry,508-228-7240,CAN4/21/20124/30/201200010, ,General Contract , ,Construction of five bay storage barn.,"Wellen Construction488 Boston Post Rd. EastMarlborough, MA 01752","$337,750.00", 4/25/2012, 
"Newton, City of1000 Commonwealth Ave.Newton, MA 02459",Do not notify email address listed when final publish date assigned.,Maureen Lemieux,617-796-1220,CAN4/21/20124/30/201200011,12-40,General Contract , ,Window Repairs.,"Coulter Construction27 Porter St.Billerica, MA 01821","$91,676.00", 4/25/2012, 
"Sudbury, Town ofHousing Authority55 Hudson Rd.Sudbury, MA 01776",Notify email address listed when final publish date assigned.,Jo-Ann Howe,978-443-5112,CAN4/21/20124/30/201200012,DHCD Project 288023,General Contract , ,Roof and Exterior Trim Replacement Project:  Exterior trim and paint (667-01) and roof replacement (705-04).,"Meadows Construction Co., LLC166 Middle Rd.Byfield, MA 01922","$126,000", 4/25/2012, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",617-973-7620,CAN4/21/20124/30/201200013,606576,General Contract , ,Boston:  Extension of the Massachusetts Emergency Transportation Fiber Optic Network to Four Locations.,"Maverick Construction Corp.1 Westinghouse Plaza Building DBoston, MA  02136","$437,603.75", 4/25/2012, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",617-973-7620,CAN4/21/20124/30/201200014,602606,General Contract , ,"Brockton:  Intersection Improvements and Related Work, Including Traffic Signals on Route 123/Belmont St. at Manley St. and the V.A. Hospital.","I.W. Harding Construction Co., Inc.354 Pleasant St.West Bridgewater, MA  02379","$2,517,911.10", 4/25/2012, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",617-973-7620,CAN4/21/20124/30/201200015,606470,General Contract , ,"Chicopee - Palmer - West Springfield - Westfield:  Resurfacing and Related Work on a Section of Interstate 90 and on Ramps at Interchanges 3, 4 and 5.","Palmer Paving Corp.25 Blanchard St.Palmer, MA  01069","$2,439,286.50", 4/25/2012, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",617-973-7620,CAN4/21/20124/30/201200016,606586,General Contract , ,District 4:  Application of Reflectorized Pavement Markings at Various Locations.,"RoadSafe Traffic Systems, Inc.55 Bodwell St.Avon, MA  02322","$869,932.50", 4/25/2012, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",617-973-7620,CAN4/21/20124/30/201200017,606338,General Contract , ,District 5:  Tree Trimming and Sight Distance Clearing at Various Locations in Area 5D.,"Mayer Tree Service, Inc.9 Scot's WayEssex, MA  01929","$267,265.50", 4/25/2012, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",617-973-7620,CAN4/21/20124/30/201200018,606504,General Contract , ,District 6:  Scheduled and Emergency Roadside Concrete Barrier Repairs and Improvements at Various Locations.,"N.E.L. Corp.3 Ajootian Way Building BMiddleton, MA  01949","$1,229,720.00", 4/25/2012, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",617-973-7620,CAN4/21/20124/30/201200019,603003,General Contract , ,East Brookfield:  Concrete Bridge Replacement (E-02-002) on Shore Rd. over the East Brookfield River at Quaboag Pond (ABP).,"E.T. & L. Corp.873 Great Rd.Stow, MA  01775","$1,074,856.00", 4/25/2012, 
